date,h_theoretical,h_actual,rho_t,sigma_s,sigma_f,cov_sf,var_f
2021-01-07,0.00036681322227703555,0.0003246134710416244,0.007221399093364642,0.00028422360631871985,0.005595469215209175,1.1484656320745688e-08,3.130927573835358e-05
2021-01-08,0.21495764769393852,0.19022800680879517,0.6294002360920216,0.0018926494701311761,0.005541715012792228,6.601479470892174e-06,3.071060528300676e-05
2021-01-11,0.09979634633622722,0.0883153507400241,0.28344165755063483,0.0028983182524340246,0.008231805669632454,6.7624623514961965e-06,6.776262458259301e-05
2021-01-12,0.3906807474915943,0.34573517477132243,0.4813522219046133,0.0064249822980839465,0.007916129793283598,2.4482052369662223e-05,6.266511090411223e-05
2021-01-13,0.3743684371123021,0.3312995018692939,0.4707115746838924,0.00899622953999036,0.011311395281211481,4.789956670728029e-05,0.00012794766320781337
2021-01-14,0.3770323093692111,0.33365691094620453,0.4689411966075956,0.008702095773473405,0.010823399224946528,4.4167815897451664e-05,0.0001171459707825731
2021-01-15,0.3487176938563803,0.3085997290764428,0.46673873664917753,0.007778177502685296,0.010410646792507075,3.779456997466278e-05,0.00010838156663833786
2021-01-18,0.3357804430817802,0.29715083458564623,0.47781897800067497,0.007008558663825231,0.009973250101379887,3.339864272202903e-05,9.946571758467393e-05
2021-01-19,0.32147945422068896,0.28449509223069824,0.4763438532250837,0.006718042309647666,0.009954285158484526,3.1854689618853007e-05,9.908779301642532e-05
2021-01-20,0.3491599813011921,0.30899113389486027,0.5422817213626693,0.006154978627771231,0.009559321182169015,3.1906456081614494e-05,9.138062146386523e-05
2021-01-21,0.37652330426205194,0.33320646394871856,0.5373401184799133,0.00745425719389892,0.010638043909658435,4.2610381097489e-05,0.00011316797822382094
2021-01-22,0.3433689282452657,0.3038663081816511,0.5257580973905177,0.006712559731877382,0.01027810714058317,3.627331722325007e-05,0.00010563948639330676
2021-01-25,0.3280288784645488,0.2902910428889813,0.5188448332129452,0.006244466127867443,0.0098769016977492,3.200026257047299e-05,9.755318714700104e-05
2021-01-26,0.2913896018296851,0.2578669042740576,0.5046057620451085,0.005749349788798558,0.00995627508059221,2.8884697544466558e-05,9.912741348042143e-05
2021-01-27,0.26444063209723456,0.23401825849312796,0.49794428835229504,0.005313291243210551,0.01000497921187894,2.6470403884613558e-05,0.00010009960903012973
2021-01-28,0.3007018375912825,0.26610782087724116,0.5551361550685214,0.0051911289445453705,0.009583524283801628,2.7617640837472667e-05,9.184393769821551e-05
2021-01-29,0.3754697169584467,0.3322740858039352,0.5827805003707289,0.0065317175465202,0.010138121526489404,3.8591343749563106e-05,0.00010278150808586786
2021-02-01,0.3742950078550605,0.33123452022571725,0.5799253282822454,0.006883824244052763,0.010665661979962753,4.257843222156467e-05,0.00011375634547082301
2021-02-02,0.35796109608339816,0.31677973104725504,0.5887548049230651,0.006271002798419616,0.01031420193326079,3.8080889918106804e-05,0.00010638276152008061
2021-02-03,0.37175958927080105,0.3289907869653107,0.5896294033020858,0.006377390972776527,0.010114862783440447,3.803489054587276e-05,0.00010231044912782864
2021-02-04,0.3581488339316977,0.3169458707360157,0.5879852076708322,0.005979735567182156,0.009817136693391538,3.45170139274392e-05,9.637617285673451e-05
2021-02-05,0.3472207671339619,0.30727501516279815,0.5936109097866651,0.005559599159724811,0.009504727330955273,3.1367869115545936e-05,9.033984163580816e-05
2021-02-08,0.3526019149527506,0.3120370928785404,0.6184617353736958,0.005383250288211859,0.009442190113019073,3.143620755390197e-05,8.915495413039514e-05
2021-02-09,0.43479383347042005,0.38477330395612397,0.6656374450990445,0.006220024043612696,0.009522400259907677,3.942541204056586e-05,9.06761067098898e-05
2021-02-10,0.5422786380889654,0.47989260007873047,0.6793976102325165,0.00808932795082945,0.010134771484911388,5.5699387353122766e-05,0.00010271359305137299
2021-02-18,0.5555667954009886,0.4916520313283086,0.6749501199184441,0.008404640030020262,0.01021067645347517,5.792223497480795e-05,0.00010425791363755228
2021-02-19,0.5459485006963535,0.48314026610296773,0.7115765423159913,0.007505005975157083,0.00978184974416361,5.223885540242974e-05,9.568458441739367e-05
2021-02-22,0.6607440293947355,0.5847292295528633,0.7077524026307996,0.009678876522525817,0.010367476373353763,7.101978546919834e-05,0.00010748456635204851
2021-02-23,0.6812328228031616,0.6028609051355412,0.7559109741171011,0.008969199719896239,0.00995242194793162,6.747658975304733e-05,9.905070262967103e-05
2021-02-24,0.8755631862827616,0.7748346781263378,0.7528792184899326,0.012927105261586087,0.011115758473126255,0.0001081846629745442,0.00012356008643287812
2021-02-25,0.8050645667328801,0.7124465192326372,0.7479046816417818,0.01149086133428086,0.010675005885405826,9.174173702653907e-05,0.00011395575065344904
2021-02-26,0.744563239544386,0.6589055217206956,0.7545929387652827,0.010110605757258688,0.010246801488259889,7.81768623394792e-05,0.00010499694073980509
2021-03-01,0.7189153491663041,0.6362082735984992,0.7512869631724101,0.010108715939668191,0.01056389533022619,8.022799430532978e-05,0.0001115958845479747
2021-03-02,0.6744505964283166,0.5968589348923157,0.7490447358739967,0.00913489071471876,0.010145208320490498,6.941799750865933e-05,0.00010292525186614964
2021-03-03,0.6321313859346243,0.5594083061368357,0.7503364021741541,0.008335697646891375,0.009894426255599486,6.188545466594198e-05,9.789967092749645e-05
2021-03-04,0.6277424020276721,0.5555242495820107,0.7823062676106788,0.007934062229057643,0.009887601330348458,6.137102254444777e-05,9.77646600679086e-05
2021-03-05,0.7736135651002575,0.6846137744250067,0.7774555828183485,0.01063085858713367,0.010683654904174717,8.830062528853695e-05,0.00011414048211149648
2021-03-08,0.7399624546793894,0.6548340306897251,0.7919447659100788,0.009559995909965391,0.010231584961022392,7.746321435850982e-05,0.00010468533081461959
2021-03-09,0.7522571294221491,0.6657142738249108,0.7985934423378852,0.010646954984253967,0.01130276882563173,9.610279145838284e-05,0.00012775258312567244
2021-03-10,0.7865832994048783,0.6960914154025472,0.8054424877658187,0.011135604073462146,0.011402592267710827,0.00010227086086272869,0.00013001911042365873
2021-03-11,0.757073733887048,0.6699767556522549,0.8010211585207343,0.011743282001401574,0.012424968576444895,0.00011687692502910107,0.0001543798441256431
2021-03-12,0.6943618904981693,0.6144795491134243,0.7975644528467922,0.01034050048714105,0.011877402441069575,9.795549885611388e-05,0.0001410726887471255
2021-03-15,0.6324225950072467,0.5596660132807494,0.7938441332634677,0.009743168701927164,0.012230045818227744,9.459399032684873e-05,0.00014957402071594993
2021-03-16,0.5861631474894093,0.5187284491056721,0.7965479624376061,0.008870951225159813,0.012054899994224053,8.518158842156788e-05,0.00014532061387074308
2021-03-17,0.6066051974680053,0.5368187588212437,0.7898252425773393,0.009150189416748172,0.011913927882381704,8.61025593613547e-05,0.0001419416775865922
2021-03-18,0.5389677875802731,0.4769626438763479,0.7832749241536078,0.00871554099284617,0.012666183151275047,8.646778553084299e-05,0.0001604321956216439
2021-03-19,0.4936243764237539,0.4368357313484548,0.7790862366145148,0.007800231467338482,0.012311087678931767,7.481513204919167e-05,0.00015156287983834557
2021-03-22,0.46832583146306217,0.4144476384628869,0.7747832392371602,0.007135423660693683,0.011804616115004463,6.526071831542928e-05,0.00013934896162262305
2021-03-23,0.4456218571943695,0.39435562583572525,0.7653859209750361,0.006593749914208593,0.011325215020959649,5.715568010731931e-05,0.00012826049527097004
